Tweet,Emotions
@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,anger
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop,anger
That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,anger
@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! ,anger
@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,anger
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5",anger
i already gets aggravated too fast like why aggravate me on purpose?,anger
Circle K is dead to me. I hate your new slushie machine.  #livid,anger
@EmmaHobbs1 I did that! 3 days later my order isn't even in the same postcode as me #fuming,anger
@SouthernRailUK delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading #fuming,anger
We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews,anger
never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*,anger
I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.,anger
"@UN_Women @JustinTrudeau @CanadianPM Trudeau endulging on outrage culture once again. Preaching issues ad hominem,but never quanitfying them",anger
I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media,anger
@eNCA what they should be doing is directing their anger to the thieves in government...#corruption #FeesMustFall,anger
"Okay you've annoyed me, you haven't done a good job there at all. #furious",anger
@Lowetide there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament! #outrage,anger
@atheist_taco @DrJillStein :^) well cucks among her ranks agree equally about their outrage of black youths shot and harambe.,anger
@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery?   #rage. #iphonePhoneHome,anger
Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp,anger
Panpiper playing Big River outside The Bridges in SR1 #outrage,anger
and apparently he's supposed to have a Scottish accent??? I'm #offended,anger
Candice on great british bake off with that pout does my head in 👊🏻🙄,anger
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",anger
@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus ,anger
@TillTheEndMMVI I accidetly dumped boiling water my myself 😫,anger
but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger
@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...,anger
#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!,anger
"@UnitedFrontRev @JuanDeznuts @LucidHurricane_ sex offense happens across ALL races, cultures, and creeds &amp; they should be castrated",anger
"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole",anger
@HannahFJames I'm distraught! 😭 Candice and her pout can piss off,anger
The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days,anger
How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder ,anger
@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines  #con!,anger
Goddamn headache. ,anger
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger
Egyptian officials expressed frustration and outrage over the Obama/Hillary administration’s support of the Muslim Brotherhood,anger
Just watching crimewatch what kind of sick fuck touches 6 year olds 😡😡😡😡 shit like this makes me fume!!!,anger
"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger
@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming,anger
@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,anger
No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.,anger
@tomwilcox77 @mattgrime fuming,anger
I'm not saying he might be like big foot but it might be like natural biological father says blood boiling if he cross,anger
"@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite",anger
Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer ,anger
Chick told me I look like Childish Gambino. #insult or #compliment,anger
@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood,anger
@SouthernRailUK delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading ,anger
@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged #angry #yeller #quiet #screamer #😂😂,anger
@MarkTOByrne I offered @WholeFoods @amazon @CheapAir gold or silver but they said Nah... #bitcoin #snap,anger
"You offend me, @Tansorma",anger
@RossKemp watching on +1. I would have been straight out of there with the guy who was getting irate! #ExtremeWorld,anger
Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly,anger
@AgentTinsley I believe that's what you call the fury of the righteous.,anger
Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. ,anger
"If I spend more than £10 in shimmy on £1 drinks I'll be raging, but we all know it's gonna happen",anger
Actually fuming I have nothing to wear Saturday,anger
"This fuck you is boiling up inside, its not gonna be good when I let it out.",anger
Who the hell is drilling outside my house?! Literally got to sleep at half four after a busy shift and these twats have woken me up ,anger
@JuliaHB1 Bloody right ,anger
@kjwinston11 2.  the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back.,anger
#Scorpio always seek revenge!,anger
"Didn't think Cadres not Getting SRC deployment would make some Cadres so bitter, Ku tough Macom.",anger
@BI_Science Opioid rapid pill plague...Speed generations Pulse Rapid rabid Impairment Ist Choice Stacked usage vs street ingestion demo US,anger
angry already,anger
@bassekraah. @sunilddesai @jyoti1013 @Archnahr . A2: #irritation and isolation #lifenabler,anger
"im on holiday for the next round, fuming!",anger
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger
whenever i pout i just want Adrian to appear and tell me to stop pouting or else,anger
very little frustrates me as much as misplacing something. Been looking for my keys for 2 hours now #rage,anger
Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging,anger
"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",anger
"They're like the rape apologists who (inadvertently?) make men sound like rabid, mindless beasts. With friends like these...",anger
@soyoprincess they irritate me. Them and their inch thick made up masks,anger
@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned,anger
I asked Jared to marry me and he said no. ,anger
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger
"Y'all bitches be so angry and bitter, that must truly suck lol",anger
Bloody parking ticket 😒💸 #fuming,anger
@jamiesmart Huh! It's always my fault isn't it &gt;:(  #sulk,anger
"This anger inside I turned to fuel, I burned and watched myself spin down, like inferno types,",anger
@DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront.,anger
Dear @TfL please tell your bus drivers if obstruction on their side DON'T just pull out to oncoming traffic causing vehs to swerve #fuming 😡,anger
Still can't log into my fucking Snapchat #Snapchat ,anger
#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown,anger
@summar_rose @turehndebushra @_taaz_mania @fxla_ summar one more insult from you and you're gone Idc if you're my dad,anger
@UlsterWillFight @VanguardBears Looks like a rabid pack of inbreds.,anger
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop  #howmanymoretimes,anger
@BigBrother__USA she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby,anger
@XemitSellsMagic add tracking but resent them,anger
@ggreenwald What if the supposed animosity is all bullshit to con the Iranians?,anger
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended,anger
"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",anger
@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos,anger
ESPN just assumed I wanted their free magazines #offended,anger
@Matt_Lat fuming ain't the word,anger
People fuckin irritate me,anger
I freaking hate working with #word on my phone #rage #write #writing #writerslife #writerproblems #writer,anger
"@SaraLuvvXXX : Whaaaat?!? Oh hell no. I was jealous because you got paid to fuck, but this is a whole new level. #anger #love #conflicted😬",anger
Ever put your fist through your laptops screen? If so its time for a new one lmao   #hp,anger
"#EpiPen: when public outrage occurs, expand #PAP Patient Assistance Progrm, coupons,rebates .@GOPoversight @OversightDems on #Mylan #Epipen",anger
They gonna give this KKk police bitch the minimum sentence..just wattch #angry,anger
"@SiobhanSynnot  Oh, good God. Quentin Letts is doing one of his 'comedy' turns. #angry @bbcthisweek @afneil #BBCTW",anger
Can't believe I've only got 2 days off left 🙄 #backtoreality #raging,anger
That AK47 leave your spine with a frown,anger
i feel furious,anger
I love when people say they aren't racist right before they say some racist shit... Not how that works... ,anger
@loueezecee I don't know how much more of that bloody pout I can take!!,anger
come on let's make em hate 😘make em pout they face 👿😩.,anger
All Brian does is sleep and aggravate me,anger
luv seeing a man with a scowl on his face walking with a protein shaker clenching his fists. i immediately stop n suck his dick,anger
You boys dint know the game am I the game... life after death... better chose and know who side you on before my wrath does come upon us😤😤😤,anger
I'm not use to getting up early asf this shit goin irritate me.,anger
@eMilsOnWheels I'm furious 😩😩😩,anger
My blood is boiling,anger
"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 #bitter",anger
"@Lizombi There's a difference though. A grudge cab be tamed. Feeling uncomfortable is pure emotion, you can't really control it.",anger
"@AskPS_UK not received verification email, asked for it to be resent 5 times still nothing.",anger
"@RussellHartness @Mariners @BlueJays :  Wrongdoing!  Grrr.  After the fact, I know, but emailing displeasure now anyway .",anger
@LeonWobYP b***er off. NCFC is a grudge match :),anger
@ChurdAllan fucked my coupon that goal! ,anger
@jonnyp_43 @MedicNow like going to a so called cardiac arrest that turned out to be a cut finger!  #medchat,anger
I got a NO RESPONSE again from an #irate customer of #amazon 😞😞\nwhy can't they understand that it's not always amazon fault..\n#carrierfault,anger
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes,anger
You ever just be really irritated with someone u love it's like god damn ur makin me angry but I love u so I forgive u but I'm angry,anger
Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #angry #unfair #ugh,anger
"Leave it on there, rule,nimber 1 of carpet cleaning!!!  #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger
im so mad about power rangers. im incensed. im furious.,anger
I'm not used to pretty girls that use curse words to express their anger. I just feel like I'm a little bit surprised and turned off as well,anger
@ColinOccupantz @JasnaBadzak @proremain and there was I thinking #UKIP were a party of angry old men - how wrong can you be!,anger
"And to discriminate only generates hate\nAnd when you hate then you're bound to get irate,",anger
@kingvee_ don't provoke me to anger,anger
Pride and Prejudice is a modern day Keeping up with the Kardashians' - @howsyourdaybin .............I've never been so offended in my life,anger
@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #fuming #con!,anger
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger
@lyssababe615 \nIf this room was burning 🔥,anger
@alicehouston18 sorry I'm just angry my drone flew away,anger
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,anger
@omgitsbrittanyy @WittLowry u probably irritate the shit out of him always talking to him. He could probably give 2 shits about u lol 🖕🏻,anger
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger
@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,anger
some of the casuals tweets that Vic has faved are making me gag #bitter,anger
Ive always wondered how long Angelina put up with Brad's crap. Not gon lie 😐 #bitter,anger
"@leesyatt you are a cruel, cruel man. #therewillbeblood #revenge",anger
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed ,anger
Id love 2 c Gyimah in action but his coach is holding a grudge against him!,anger
@everycolorbot more like every color looks the same #triggered #colorblind #offended,anger
"as someone that's struggled w EDs since i was 7y/o, i resent everyone who's making a spectacle of a certain youtuber who has severe anorexia",anger
"I can definitely feel my irritation today, lord give me strength",anger
These people irritate tf out of me I swear 🙄 I'm goin to sleep ✌🏾️,anger
@PAULROVlA the first resulted in me angrily sobbing and ranting about finnick in the cinema,anger
Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,anger
@edquinn63 how can you even forget to pick ur fave child up from school #offended,anger
@StrangeFacesLA why doesn't this account follow me #offended,anger
@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,anger
Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness,anger
"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage",anger
Circle K is dead to me. I hate your new slushie machine. #irate #livid,anger
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy,anger
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger
Forever raging 😏😂😭,anger
Just seeing Alex revells face gets me angry,anger
@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage,anger
Does she really need to pout all the time - getting on my nerves #GBBO,anger
"@Mick727XD I know your furious, i am too, but just stop fucking moaning. We didn't win until the 7th game last season and where we finished.",anger
Congrats to #Nicole #bb18 ... Fix that nose now 😒💁🏻 #bitter #petty,anger
@saclivin @MrsCagg specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards blacks.,anger
@ashleighjessica @zacflint1 I'd give that pout the firm D,anger
Mia has the worst road rage I have ever seen and she gets so mad when I put my hands on her windows lol,anger
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger
Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,anger
@katrinadougan_ ive went roght in the huff. Deleted the episode out of anger n everything (regret it now),anger
"@CNNnewsroom @BrookeBCNN What can't you grasp? Besides yr cognitive dissonance, raging away. Each. Incident. Re: LEO-shooting = SEPARATE.",anger
@paulkrugman relentless echo chamber - negative comments with lots of reverb. Typical bully behavior.,anger
People irritate my MF soul,anger
Another raging storm brought on by my own emotions sorry everyone. enjoy the thunder,anger
not going to waste my energy holding a grudge against someone who wasnt even in my life a year XD \ntime to release those feelings of dislike,anger
Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry,anger
"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? #boiling",anger
Your twitter picture just makes me fume.,anger
@TalkTalkCare  how on earth can I send an email to you? Very annoyed customer!!! #fuming,anger
Delete this shit Josh just screenshotted my snap me,anger
People who go the speed limit irritate me,anger
"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",anger
Can someone make me a priority list of which things I should be outraged at + in which order?  #racism #animalrights #abortion #cops,anger
Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.,anger
Where's your outrage when a black man kills another black man in the streets?,anger
So #angry about my @WishShopping order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing,anger
@SopanDeb @johnrobertsFox @azizansari Let's not stereotype all South Asians as relentless beat reporters.,anger
You a fuck boy if you run drag routes back to back in madden,anger
"@broadly you should be criminalized for posting a pic of that brown frown.... Get a pic of some jack, or cookies, or diesel, Join up @CNN_Ai",anger
"@SapientSoldier timid but determined version of the rabid beasts beyond the land. Growling beneath my restrained breath, I //rip// myself --",anger
How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder #offended,anger
@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 #furious,anger
"The majority of people irritate the fuck out of me, cba with people ahahah",anger
Forgot to eat dinner and now I'm furious with everything and everyone,anger
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. ",anger
@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged  #yeller #quiet #screamer #😂😂,anger
@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),anger
@Deadspin @jrzy_boy This is about him being left off because they wanted to play a heavier game. We needed his offense tho. Amongst others.,anger
I'm furious!!!!,anger
"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room",anger
@inthefade going back to blissful ignorance?! #fury,anger
@Alanafergusson snap meee,anger
@shod_jpg aye man she was fuming xo,anger
Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!!  #instagram,anger
Argh a big wasp buzzing between my blinds and my window. Halp! #wasp #evil #buzz ,anger
Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO,anger
"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",anger
So fucking mad my blood boiling.,anger
... flat party and I instantly get bollocked about it. ,anger
@Grace_thomas473 you keep talkin shit and trying to offend me but you're just petty as fuck,anger
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger
.@RepDelBene: 'Today's proceedings and the entire process is an insult to our constituents.',anger
i have so much hw tonight im offended,anger
@SunandBeachBum 'you people' infuriate me!,anger
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,anger
"@sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger",anger
"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit",anger
I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger
"Yet we still have deaths, road rage, &amp; violations on the road, despite a widely accepted concept of 'personal accountability' while driving",anger
hitting your children as discipline because you're being quite a raging hypocrite if you're not.,anger
I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry,anger
Trump supports reach another level of irritation within me,anger
Honestly fuming,anger
#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge,anger
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis ,anger
Having one of those #angry days. I will have to stop watching #news.,anger
I don't get what point is made when reporting on Charlotte looting @CNNAshleigh. Why not explore what looting businesses symbolizes #outrage,anger
This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards,anger
@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.,anger
@thehill no wonder USA is going to shit with such outrage over a simple analogy.,anger
"@Apple thanks for ios10 update, even the best app @telegram freezing and crashing on SE. #angry",anger
@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! ,anger
Like he really just fucking asked me that. ,anger
"@mattstottwrites For me not so much outrage as ‘oh, using female body to sell something, AGAIN’",anger
"@robert7019 @itzamadhouse @skyler12388\r\ralso celebrate THEIR belief that Jesus is alive in hell, boiling in a pot of shit (actual shit)",anger
Will give #sleepnumber another chance for customer service. Today's growl is 15+ minutes on hold. Overall bed + service = very unimpressive.,anger
@mikeburke91 @AP I guess. It's just heartbreaking the ease with which they can kill an innocent man and get away with it. #indignation,anger
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",anger
@jagtron1 blacks are good at provoke them selfs blaming on white when black cops shooting blacks,anger
"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? ",anger
After what just happened. In need to smoke. #burning,anger
@PuseLepuru it's the irritation of not having found the corpse,anger
The side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet .,anger
@judy_that Im honestly offended,anger
All hell is breaking loose in Charlotte. #CharlotteProtest  #looting,anger
I love when people say they aren't racist right before they say some racist shit... Not how that works... #fuming,anger
Connivers blind to existential fury,anger
@carefreeash_ id be fuming,anger
Michelle is one of the worst players in bb history #bb18 #bbfinale #bitter,anger
@JaredWyand Maybe if it was transgender the media would cover it #outrage,anger
@DP3520 lol they are madden tubers u dont know nothing bout madden cuz id smash on you,anger
"@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either.",anger
the world drives whoever it has assessed as tenderhearted or vulnerable to build up their guards &amp; invigorate raging self defense mechanisms,anger
@kylemuir17 @Ealvarezfight @danawhite @TheNotoriousMMA he'll defend his belt against aldo after its not that hard u grudge holding bitch,anger
#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily #rage,anger
"#CharlotteRiots #passion? or #anger act of violence.\nIf mourning for those who have past away, #stayhome  #whyout",anger
"I am #real #sjw, I will not let #america down\nI have found us, now go and get us\nI let it out and I let it in\nI #rage I #lol\n@SergioSarzedo",anger
LOL I have reminders for my ex-gf's birthday approaching. Too bad she considers me acknowledging her existence an affront...,anger
"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield",anger
@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk,anger
"@SaraLuvvXXX : Whaaaat?!? Oh hell no. I was jealous because you got paid to fuck, but this is a whole new level.  #love #conflicted😬",anger
Candice's pout is gonna take someone eye out mate! #GBBO,anger
@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! #rage,anger
My irritation level is at an all time high today 🙃,anger
The side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet #revenge.,anger
"@natalie_bloomer You interviewed one irate group, two filmmakers who don't live here and got stock statements. That's not journalism.",anger
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter,anger
Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference,anger
Losing the will 2 live with @virginmedia business bb gone down on hold for 23 minutes &amp; whoever picked up cut me off  #NoWorkForMe,anger
I asked Jared to marry me and he said no. #offended,anger
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt,anger
@washingtonpost#Trump's #fear &amp; #anger are similar to what #Hitler preached to come to power in Germany. Wake up America!!,anger
"Yeah I'm hot nigga, they say im burning uhhhhh",anger
